metric,mean
acc_gb_globalTest,0.6662477307638599
acc_gb_localTest,0.8387096774193549
acc_localTree_globalTest,0.650223432481497
acc_localTree_localTest,0.8064516129032258
acc_superTree_globalTest,0.7012987012987013
acc_superTree_localTest,0.6666666666666666
client_id,3.6344086021505375
covG_globalZ,0.42794117647058816
covG_localZ,0.6184242385321725
covInter_globalZ,0.3869607843137255
covInter_localZ,0.41409585948316935
covL_globalZ,0.7418627450980392
covL_localZ,0.494775580348674
covUnion_globalZ,0.7828431372549021
covUnion_localZ,0.6991039593976773
f1_localTree_globalTest,0.6055139985504406
f1_localTree_localTest,0.8042075927432955
f1_superTree_globalTest,0.6383371530430355
f1_superTree_localTest,0.6406698497762797
fidelity_localtree_gb_globalTest,0.9207862030442676
fidelity_localtree_gb_localTest,0.956989247311828
fidelity_supertree_gb_globalTest,0.7149839407903925
jaccard_cov_globalZ,0.5361175606924924
jaccard_cov_localZ,0.6241705399915058
prec_localTree_globalTest,0.7163496013330419
prec_localTree_localTest,0.8050448923701814
prec_superTree_globalTest,0.7254174397031539
prec_superTree_localTest,0.8077386770935159
ratio_has_factual_globalZ,0.9027205882352941
ratio_has_factual_localZ,0.9027205882352941
rec_localTree_globalTest,0.650223432481497
rec_localTree_localTest,0.8064516129032258
rec_superTree_globalTest,0.7012987012987013
rec_superTree_localTest,0.6666666666666666
round,3.0
separability_anchor_global,0.9190333696930008
separability_anchor_local,0.3098989446435683
separability_lime_global,0.9882590312994867
separability_lime_local,0.9826826797315306
separability_lore_global,1.0
separability_lore_local,0.5461573135001127
separability_shap_global,0.9457389304493887
separability_shap_local,0.9219287026841014
silhouette_global,0.2680191745677293
silhouette_local,-0.4392340905424518
similarity_anchor_global,130.06130631984482
similarity_anchor_local,130.65233022821351
similarity_lime_global,130.08855581902057
similarity_lime_local,130.10278962977358
similarity_lore_global,129.93874674369636
similarity_lore_local,130.39248653527133
similarity_shap_global,130.29031321779271
similarity_shap_local,130.33029952310417
stability_anchor_global,0.13122855103074096
stability_anchor_local,0.7340606457789214
stability_lime_global,0.16318127679468541
stability_lime_local,0.17753468686665588
stability_lore_global,0.0005988446201414
stability_lore_local,0.49785281779412954
stability_shap_global,0.3536201081966542
stability_shap_local,0.38991185356371366
