metric,mean,count
round,3.0,108.0
client_id,2.0,108.0
silhouette_global_LORE,0.5871510365392739,108.0
silhouette_local_LORE,0.5325871153954105,108.0
tree_fidelity_lore_global,0.9631172839506171,108.0
tree_fidelity_lore_local,0.9610339506172837,108.0
acc_localTree_localTest,0.8425925925925926,108.0
acc_localTree_globalTest,0.6599999999999999,108.0
acc_nn_local_localTest,0.8240740740740743,108.0
acc_nn_global_localTest,0.7777777777777777,108.0
acc_nn_local_globalTest,0.7366666666666665,108.0
acc_nn_global_globalTest,0.75,108.0
has_factual_local,1.0,108.0
has_factual_global,0.9907407407407407,108.0
cov_ruleLocal_on_localZ_LORE,0.46396604938271613,108.0
cov_ruleLocal_on_globalZ_LORE,0.5841049382716049,108.0
cov_ruleGlobal_on_localZ_LORE,0.5766355140186915,107.0
cov_ruleGlobal_on_globalZ_LORE,0.4590342679127725,107.0
jaccard_cov_globalZ_LORE,0.5941226477848128,85.0
covInter_globalZ_LORE,0.38823529411764707,85.0
covUnion_globalZ_LORE,0.6684313725490196,85.0
jaccard_cov_localZ_LORE,0.5973322390104853,85.0
covInter_localZ_LORE,0.387843137254902,85.0
covUnion_localZ_LORE,0.6452941176470588,85.0
jaccard_cov_combinedZ_LORE,0.5878120388725804,85.0
covInter_combinedZ_LORE,0.3880392156862744,85.0
covUnion_combinedZ_LORE,0.6568627450980392,85.0
jaccard_lore_struct,0.6269796209437238,82.0
sim_aditiva_lore,0.7313972508057942,82.0
delta_lime_testlocal,0.017803942339521248,85.0
delta_lime_testglobal,0.0180462339535619,85.0
delta_shap_testlocal,0.02060590323996529,85.0
delta_shap_testglobal,0.020481479765186304,85.0
jaccard_anchor_struct_testlocal,0.7275502329194042,78.0
jaccard_anchor_struct_testglobal,0.7535540460694917,78.0
sim_aditiva_anchor_testlocal,0.8120779781140799,84.0
sim_aditiva_anchor_testglobal,0.8433426345933637,85.0
anchor_prec_testlocal_local,0.8951607101889074,108.0
anchor_prec_testlocal_global,0.9429798148261104,108.0
anchor_prec_testglobal_local,0.9139251329096417,108.0
anchor_prec_testglobal_global,0.9322624359850339,108.0
anchor_cov_testlocal_local,0.5993655692729767,108.0
anchor_cov_testlocal_global,0.44804526748971196,108.0
anchor_cov_testglobal_local,0.5692592592592594,108.0
anchor_cov_testglobal_global,0.469320987654321,108.0
pred_agreement_localTest,0.7870370370370371,108.0
pred_agreement_globalTest,0.7999999999999999,108.0
ratio_has_factual_globalZ_LORE,0.7870370370370371,85.0
ratio_has_factual_localZ_LORE,0.7870370370370371,85.0
ratio_has_factual_combinedZ_LORE,0.7870370370370371,85.0
stability_shap_global,0.4112962962962963,1.0
stability_lime_global,0.42192636883813356,1.0
stability_anchor_testlocal_global,0.2581790123456789,1.0
stability_lore_global,0.008681657848324515,1.0
ratio_has_anchor_testlocal_global,1.0,1.0
ratio_has_anchor_testglobal_global,1.0,1.0
stability_shap_local,0.44796296296296295,1.0
stability_lime_local,0.42192636883813356,1.0
stability_anchor_testlocal_local,0.28771604938271605,1.0
stability_lore_local,0.005308641975308643,1.0
ratio_has_anchor_testlocal_local,1.0,1.0
ratio_has_anchor_testglobal_local,1.0,1.0
