,0
round,2.0
client_id,2.0
silhouette,0.5777318522477666
acc_lore,0.48
acc_merged,0.8
acc_super,0.8
prec_lore,0.29799999999999993
prec_merged,0.85
prec_super,0.85
rec_lore,0.48
rec_merged,0.8
rec_super,0.8
f1_lore,0.33904761904761904
f1_merged,0.7809523809523808
f1_super,0.7809523809523808
coverage_factual_merged,0.85
fidelity_factual_merged,0.25
hit_factual_merged,0.4
support_factual_merged,1.0
complexity_factual_merged,1.6
coverage_factual_lore,1.3
fidelity_factual_lore,0.71
hit_factual_lore,1.0
support_factual_lore,2.8
complexity_factual_lore,3.0
coverage_factual_super,0.65
fidelity_factual_super,0.26666666666666666
hit_factual_super,0.4
support_factual_super,0.8
complexity_factual_super,1.2
depth_edges_merged,12.4
nodes_merged,315.4
leaves_merged,158.2
depth_edges_lore,4.4
nodes_lore,15.0
leaves_lore,8.0
depth_edges_super,10.0
nodes_super,107.0
leaves_super,54.0
cf_cov_merged_No,0.2
cf_sup_merged_No,1.0
cf_comp_merged_No,2.25
cf_cov_lore_No,0.0
cf_sup_lore_No,0.0
cf_comp_lore_No,3.0
cf_cov_super_No,0.6
cf_sup_super_No,3.0
cf_comp_super_No,1.0
cf_cov_merged_Yes,0.0
cf_sup_merged_Yes,0.0
cf_comp_merged_Yes,7.0
cf_cov_lore_Yes,0.2
cf_sup_lore_Yes,1.0
cf_comp_lore_Yes,2.0
cf_cov_super_Yes,0.0
cf_sup_super_Yes,0.0
cf_comp_super_Yes,5.0
