metric,mean,count
round,3.0,16.0
client_id,4.0,16.0
silhouette_global_LORE,0.19383816026929732,16.0
silhouette_local_LORE,0.6616520657334153,16.0
tree_fidelity_lore_global,0.9702275427229579,16.0
tree_fidelity_lore_local,0.9598958333333334,16.0
acc_localTree_localTest,0.75,16.0
acc_localTree_globalTest,0.8859649122807017,16.0
acc_nn_local_localTest,1.0,16.0
acc_nn_global_localTest,0.875,16.0
acc_nn_local_globalTest,0.9736842105263158,16.0
acc_nn_global_globalTest,0.9649122807017544,16.0
has_factual_local,1.0,16.0
has_factual_global,0.6875,16.0
cov_ruleLocal_on_localZ_LORE,0.46875,16.0
cov_ruleLocal_on_globalZ_LORE,0.6290486185397689,16.0
cov_ruleGlobal_on_localZ_LORE,0.6484848484848484,11.0
cov_ruleGlobal_on_globalZ_LORE,0.43244777268997114,11.0
jaccard_cov_globalZ_LORE,0.6801303447144029,9.0
covInter_globalZ_LORE,0.3764480646059593,9.0
covUnion_globalZ_LORE,0.601214842662211,9.0
jaccard_cov_localZ_LORE,0.6343862656728851,9.0
covInter_localZ_LORE,0.3712962962962963,9.0
covUnion_localZ_LORE,0.6361111111111111,9.0
jaccard_cov_combinedZ_LORE,0.6379915151721369,9.0
covInter_combinedZ_LORE,0.3737773029439696,9.0
covUnion_combinedZ_LORE,0.6188107869142352,9.0
jaccard_lore_struct,0.16209565269117354,9.0
sim_aditiva_lore,0.516019703663889,9.0
delta_lime_testlocal,0.017876142363934342,14.0
delta_lime_testglobal,0.01578284673177435,14.0
delta_shap_testlocal,0.03767346989382466,14.0
delta_shap_testglobal,0.04721207041867812,14.0
jaccard_anchor_struct_testlocal,0.2598003401874492,14.0
jaccard_anchor_struct_testglobal,0.25584592605882917,14.0
sim_aditiva_anchor_testlocal,0.43089036411956044,14.0
sim_aditiva_anchor_testglobal,0.4785373817928744,14.0
anchor_prec_testlocal_local,0.9569419883391923,16.0
anchor_prec_testlocal_global,0.9921875,16.0
anchor_prec_testglobal_local,0.9761165472065014,16.0
anchor_prec_testglobal_global,0.970185928067154,16.0
anchor_cov_testlocal_local,0.46875,16.0
anchor_cov_testlocal_global,0.390625,16.0
anchor_cov_testglobal_local,0.4385964912280702,16.0
anchor_cov_testglobal_global,0.4385964912280702,16.0
pred_agreement_localTest,0.875,16.0
pred_agreement_globalTest,0.956140350877193,16.0
ratio_has_factual_globalZ_LORE,0.5625,9.0
ratio_has_factual_localZ_LORE,0.5625,9.0
ratio_has_factual_combinedZ_LORE,0.5625,9.0
stability_shap_global,0.08133333333333334,1.0
stability_lime_global,0.17520368846703774,1.0
stability_anchor_testlocal_global,0.10222222222222221,1.0
stability_lore_global,0.10666666666666667,1.0
ratio_has_anchor_testlocal_global,1.0,1.0
ratio_has_anchor_testglobal_global,1.0,1.0
stability_shap_local,0.12,1.0
stability_lime_local,0.17520368846703774,1.0
stability_anchor_testlocal_local,0.02222222222222222,1.0
stability_lore_local,0.0,1.0
ratio_has_anchor_testlocal_local,1.0,1.0
ratio_has_anchor_testglobal_local,1.0,1.0
