round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global_LORE,silhouette_local_LORE,tree_fidelity_lore_global,tree_fidelity_lore_local,acc_localTree_localTest,acc_localTree_globalTest,acc_nn_local_localTest,acc_nn_global_localTest,acc_nn_local_globalTest,acc_nn_global_globalTest,has_factual_local,has_factual_global,cov_ruleLocal_on_localZ_LORE,cov_ruleLocal_on_globalZ_LORE,cov_ruleGlobal_on_localZ_LORE,cov_ruleGlobal_on_globalZ_LORE,jaccard_cov_globalZ_LORE,covInter_globalZ_LORE,covUnion_globalZ_LORE,jaccard_cov_localZ_LORE,covInter_localZ_LORE,covUnion_localZ_LORE,jaccard_cov_combinedZ_LORE,covInter_combinedZ_LORE,covUnion_combinedZ_LORE,jaccard_lore_struct,sim_aditiva_lore,delta_lime_testlocal,delta_lime_testglobal,delta_shap_testlocal,delta_shap_testglobal,jaccard_anchor_struct_testlocal,jaccard_anchor_struct_testglobal,sim_aditiva_anchor_testlocal,sim_aditiva_anchor_testglobal,anchor_prec_testlocal_local,anchor_prec_testlocal_global,anchor_prec_testglobal_local,anchor_prec_testglobal_global,anchor_cov_testlocal_local,anchor_cov_testlocal_global,anchor_cov_testglobal_local,anchor_cov_testglobal_global,pred_agreement_localTest,pred_agreement_globalTest
3,pablopalacios23/breastcancer,4,B,B,0.9877281923638639,0.9763528981828081,0.9833333333333333,0.975,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,1,0.35,0.35,0.3,0.3,0.8571428571428571,0.3,0.35,0.8571428571428571,0.3,0.35,0.8571428571428571,0.3,0.35,0.05662613252635112,0.565375996600626,0.019553990257613528,0.02098253380868996,0.05189356496905183,0.044813497306119644,0.14610360826265556,0.1393391923455951,0.14610360826265553,0.46232396098072776,1.0,1.0,0.8764478764478765,0.8885372714486639,0.5,0.5,0.7456140350877193,0.7456140350877193,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,B,B,0.903256399043403,0.7787154229742503,0.9583333333333334,0.975,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,1,0.35833333333333334,0.36666666666666664,0.675,0.35833333333333334,0.851063829787234,0.3333333333333333,0.39166666666666666,0.47619047619047616,0.3333333333333333,0.7,0.6106870229007634,0.3333333333333333,0.5458333333333333,0.061000340639367594,0.4376284952638692,0.018539417167237667,0.01366250509212654,0.03171684568647091,0.043826594375176976,0.04947393475626464,0.19596559678244221,0.23064620609092534,0.503630082916864,0.917360285374554,1.0,0.8741747572815534,1.0,0.75,0.5,0.7456140350877193,0.5,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,M,B,-0.9582788537863373,0.6822269088150474,0.9557522123893806,0.9666666666666667,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,1,0.4,0.7876106194690266,0.9333333333333333,0.5752212389380531,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.9682427664079041,0.25,0.25,0.5,0.2543859649122807,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,B,B,0.8557271237342295,0.714639964275032,0.9833333333333333,0.9416666666666667,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,0,0.31666666666666665,0.30833333333333335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.021806942765881934,0.018799505164207583,0.02221946428509696,0.05025121648068611,1.0,0.16317048737484705,1.0,0.2893109098044736,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,B,B,0.8784924989052256,0.829028582502705,0.9583333333333334,0.9583333333333334,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,1,0.3,0.3,0.625,0.2916666666666667,0.775,0.25833333333333336,0.3333333333333333,0.3875,0.25833333333333336,0.6666666666666666,0.5166666666666667,0.25833333333333336,0.5,0.05923788723467742,0.4803789802698433,0.025581826273387197,0.021360746555462936,0.04280741402847723,0.04087002164591137,0.04508922557935759,0.048326237939688696,0.22393941012863885,0.24096239556685037,0.9315589353612167,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,B,B,0.9611404773999511,0.8630820881997378,0.95,0.9666666666666667,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,1,0.39166666666666666,0.4083333333333333,0.39166666666666666,0.39166666666666666,0.7454545454545455,0.3416666666666667,0.4583333333333333,0.7735849056603774,0.3416666666666667,0.44166666666666665,0.7592592592592593,0.3416666666666667,0.45,0.07569943908126389,0.38126649117625033,0.01872882594207664,0.01863590834603669,0.028827084731318856,0.057411987906433044,0.14228799089356858,0.10926562908439102,0.14228799089356858,0.23918288299787305,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,B,B,0.831941225063403,0.801383455569527,0.9583333333333334,0.9416666666666667,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,1,0.425,0.43333333333333335,0.35833333333333334,0.35833333333333334,0.8269230769230769,0.35833333333333334,0.43333333333333335,0.8431372549019608,0.35833333333333334,0.425,0.8349514563106796,0.35833333333333334,0.42916666666666664,0.17406880309108042,0.6345991886137875,0.014879479002121823,0.011302916787970995,0.04269610429148954,0.053633740318180564,0.08824019811999659,0.12925981824767305,0.16539997077446356,0.3908979054296124,1.0,1.0,0.8805002315886985,1.0,0.5,0.5,0.5,0.5,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,B,B,0.6221216941333084,0.36711072631827374,0.95,0.8916666666666667,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,0,0.3416666666666667,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.018068755788396267,0.018555736365837086,0.034336043503859145,0.050297271835776265,0.06850488252549433,0.14470197485103745,0.28997333334683717,0.261942262638341,0.9252247988641742,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,M,B,-0.9438245352072759,0.9449285966224373,0.9642857142857143,0.95,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,1,0.3333333333333333,0.6785714285714286,0.8333333333333334,0.5267857142857143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9279069767441861,1.0,1.0,0.9689265536723164,0.75,0.25,0.2543859649122807,0.2543859649122807,0.875,0.956140350877193
3,pablopalacios23/breastcancer,4,M,M,-1.0,0.512371256948085,1.0,1.0,0.75,0.8859649122807017,1.0,0.875,0.9736842105263158,0.9649122807017544,1,0,0.4166666666666667,0.8214285714285714,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.017918015873634088,0.01314700606477748,0.03614338325310009,0.05098901657202593,0.1741099262838553,0.36658183513892006,0.5543112677578792,0.7448042138064827,1.0,1.0,0.9867418899858956,0.8574506283662477,0.25,0.25,0.2543859649122807,0.5,0.875,0.956140350877193
