round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global,silhouette_local,acc_superTree_localTest,prec_superTree_localTest,rec_superTree_localTest,f1_superTree_localTest,acc_superTree_globalTest,prec_superTree_globalTest,rec_superTree_globalTest,f1_superTree_globalTest,acc_localTree_localTest,prec_localTree_localTest,rec_localTree_localTest,f1_localTree_localTest,acc_localTree_globalTest,prec_localTree_globalTest,rec_localTree_globalTest,f1_localTree_globalTest,acc_rf_localTest,fidelity_localtree_rf_localTest,acc_rf_globalTest,fidelity_localtree_rf_globalTest,fidelity_supertree_rf_globalTest,jaccard_cov_globalZ,covL_globalZ,covG_globalZ,covInter_globalZ,covUnion_globalZ,jaccard_cov_localZ,covL_localZ,covG_localZ,covInter_localZ,covUnion_localZ
3,pablopalacios23/Diabetes,3,Yes,No,0.10458801007761145,-0.5927945214283691,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.4188034188034188,0.975,0.4083333333333333,0.4083333333333333,0.975,0.6296296296296297,0.5583333333333333,0.5416666666666666,0.425,0.675
3,pablopalacios23/Diabetes,3,Yes,No,0.542894085715922,0.297310581261005,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.4017857142857143,0.9083333333333333,0.4,0.375,0.9333333333333333,0.35398230088495575,0.475,0.8,0.3333333333333333,0.9416666666666667
3,pablopalacios23/Diabetes,3,No,No,-0.06549834469924763,0.43455050973489195,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.4424778761061947,0.9416666666666667,0.4166666666666667,0.4166666666666667,0.9416666666666667,0.7727272727272727,0.5333333333333333,0.44166666666666665,0.425,0.55
3,pablopalacios23/Diabetes,3,Yes,No,0.44399889331962084,-0.10123780477726493,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.9107142857142857,0.44166666666666665,0.45,0.425,0.4666666666666667,0.8142857142857143,0.5,0.5583333333333333,0.475,0.5833333333333334
3,pablopalacios23/Diabetes,3,Yes,No,0.5617792821219794,0.4740917765150238,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.38317757009345793,0.875,0.35833333333333334,0.3416666666666667,0.8916666666666667,0.46534653465346537,0.5083333333333333,0.725,0.39166666666666666,0.8416666666666667
3,pablopalacios23/Diabetes,3,Yes,No,0.6307073859299298,0.4407676350457698,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.7931034482758621,0.4583333333333333,0.4083333333333333,0.38333333333333336,0.48333333333333334,0.494949494949495,0.45,0.7833333333333333,0.4083333333333333,0.825
3,pablopalacios23/Diabetes,3,Yes,No,0.2295292200219177,0.3134950555766154,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.4444444444444444,0.8083333333333333,0.38333333333333336,0.36666666666666664,0.825,0.8703703703703703,0.44166666666666665,0.4,0.39166666666666666,0.45
3,pablopalacios23/Diabetes,3,Yes,No,0.5554635681085134,0.5501256054170817,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.3949579831932773,0.9666666666666667,0.4166666666666667,0.39166666666666666,0.9916666666666667,0.4895833333333333,0.5416666666666666,0.65,0.39166666666666666,0.8
3,pablopalacios23/Diabetes,3,Yes,No,0.5728014867698944,-0.01304511519453953,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.38317757009345793,0.8666666666666667,0.36666666666666664,0.3416666666666667,0.8916666666666667,0.6363636363636364,0.5416666666666666,0.35833333333333334,0.35,0.55
3,pablopalacios23/Diabetes,3,Yes,No,0.623104596801176,0.04616369659795055,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.4188034188034188,0.9583333333333334,0.425,0.4083333333333333,0.975,0.45614035087719296,0.55,0.8333333333333334,0.43333333333333335,0.95
