metric,mean,count
round,3.0,18.0
client_id,3.0,18.0
silhouette_global_LORE,0.5873954929941995,18.0
silhouette_local_LORE,0.5960370577340399,18.0
tree_fidelity_lore_global,0.9598520758417783,18.0
tree_fidelity_lore_local,0.9569444444444445,18.0
acc_localTree_localTest,0.8333333333333335,18.0
acc_localTree_globalTest,0.9298245614035088,18.0
acc_nn_local_localTest,0.9444444444444442,18.0
acc_nn_global_localTest,0.9444444444444442,18.0
acc_nn_local_globalTest,0.9736842105263158,18.0
acc_nn_global_globalTest,0.9649122807017544,18.0
has_factual_local,0.8888888888888888,18.0
has_factual_global,0.8888888888888888,18.0
cov_ruleLocal_on_localZ_LORE,0.40364583333333326,16.0
cov_ruleLocal_on_globalZ_LORE,0.61296796679198,16.0
cov_ruleGlobal_on_localZ_LORE,0.5197916666666668,16.0
cov_ruleGlobal_on_globalZ_LORE,0.4282042572463768,16.0
jaccard_cov_globalZ_LORE,0.678009808160294,14.0
covInter_globalZ_LORE,0.3880527210884353,14.0
covUnion_globalZ_LORE,0.6111819727891156,14.0
jaccard_cov_localZ_LORE,0.7121221775934882,14.0
covInter_localZ_LORE,0.3523809523809524,14.0
covUnion_localZ_LORE,0.5482142857142858,14.0
jaccard_cov_combinedZ_LORE,0.6748354937068441,14.0
covInter_combinedZ_LORE,0.36961206896551724,14.0
covUnion_combinedZ_LORE,0.5795566502463055,14.0
delta_lime_testlocal,0.017273499401701555,18.0
delta_lime_testglobal,0.016830511951627315,18.0
delta_shap_testlocal,0.04276659658598821,18.0
delta_shap_testglobal,0.04464398432044072,18.0
anchor_prec_testlocal_local,0.9960247059596559,18.0
anchor_prec_testlocal_global,0.9969539916348427,18.0
anchor_prec_testglobal_local,0.9728007134438541,18.0
anchor_prec_testglobal_global,0.9703216044399423,18.0
anchor_cov_testlocal_local,0.5987654320987654,18.0
anchor_cov_testlocal_global,0.6111111111111112,18.0
anchor_cov_testglobal_local,0.4590643274853801,18.0
anchor_cov_testglobal_global,0.48635477582846004,18.0
pred_agreement_localTest,1.0,18.0
pred_agreement_globalTest,0.9736842105263158,18.0
ratio_has_factual_globalZ_LORE,0.7777777777777778,14.0
ratio_has_factual_localZ_LORE,0.7777777777777778,14.0
ratio_has_factual_combinedZ_LORE,0.7777777777777778,14.0
stability_shap_global,0.0922222222222222,1.0
stability_lime_global,0.2076517382699352,1.0
stability_anchor_testlocal_global,0.274074074074074,1.0
stability_lore_global,0.029629629629629627,1.0
ratio_has_anchor_testlocal_global,1.0,1.0
ratio_has_anchor_testglobal_global,1.0,1.0
stability_shap_local,0.07333333333333333,1.0
stability_lime_local,0.2076517382699352,1.0
stability_anchor_testlocal_local,0.2722222222222222,1.0
stability_lore_local,0.005555555555555556,1.0
ratio_has_anchor_testlocal_local,1.0,1.0
ratio_has_anchor_testglobal_local,1.0,1.0
